dia,activos,recuperados,susceptibles
185,93640.65,1181895.32,900416.02
186,89312.92,1194941.54,891697.54
187,85104.80,1207384.69,883462.51
188,81022.57,1219241.47,875687.96
189,77071.10,1230529.43,868351.47
190,73253.95,1241266.81,861431.24
191,69573.50,1251472.32,854906.18
192,66031.08,1261165.04,848755.89
193,62627.08,1270364.18,842960.74
194,59361.08,1279089.05,837501.87
195,56231.93,1287358.89,832361.19
196,53237.87,1295192.75,827521.38
197,50376.62,1302609.47,822965.91
198,47645.44,1309627.56,818679.01
199,45041.23,1316265.13,814645.64
200,42560.60,1322539.89,810851.51
201,40199.92,1328469.05,807283.03
202,37955.35,1334069.32,803927.32
203,35822.96,1339356.89,800772.15
204,33798.69,1344347.38,797805.93
205,31878.46,1349055.85,795017.69
206,30058.14,1353496.81,792397.05
207,28333.63,1357684.17,789934.20
208,26700.86,1361631.28,787619.86
209,25155.79,1365350.92,785445.28
210,23694.49,1368855.32,783402.20
211,22313.07,1372156.13,781482.80
212,21007.77,1375264.50,779679.73
213,19774.92,1378191.02,777986.06
214,18610.96,1380945.79,776395.24
215,17512.46,1383538.41,774901.12
216,16476.10,1385978.00,773497.90
217,15498.69,1388273.21,772180.11
218,14577.15,1390432.25,770942.60
219,13708.54,1392462.91,769780.55
220,12890.05,1394372.57,768689.38
221,12118.98,1396168.20,767664.82
222,11392.76,1397856.42,766702.82
223,10708.92,1399443.46,765799.61
224,10065.14,1400935.24,764951.62
225,9459.18,1402337.34,764155.48
226,8888.93,1403655.01,763408.05
227,8352.37,1404893.25,762706.37
228,7847.61,1406056.74,762047.65
229,7372.81,1407149.91,761429.28
230,6926.28,1408176.94,760848.79
231,6506.37,1409141.76,760303.87
232,6111.57,1410048.08,759792.35
233,5740.40,1410899.41,759312.20
234,5391.49,1411699.02,758861.49
235,5063.54,1412450.03,758438.43
236,4755.32,1413155.36,758041.32
237,4465.67,1413817.74,757668.58
238,4193.50,1414439.78,757318.72
239,3937.77,1415023.90,756990.33
240,3697.51,1415572.40,756682.10
241,3471.79,1416087.42,756392.79
242,3259.75,1416571.00,756121.25
243,3060.57,1417025.04,755866.39
244,2873.49,1417451.33,755627.18
245,2697.77,1417851.56,755402.66
246,2532.75,1418227.32,755191.94
247,2377.76,1418580.08,754994.16
248,2232.22,1418911.25,754808.53
249,2095.55,1419222.15,754634.30
250,1967.21,1419514.01,754470.78
251,1846.70,1419787.99,754317.31
252,1733.55,1420045.18,754173.27
253,1627.31,1420286.60,754038.08
254,1527.56,1420513.23,753911.20
255,1433.91,1420725.97,753792.12
256,1345.99,1420925.65,753680.35
257,1263.45,1421113.09,753575.46
258,1185.96,1421289.03,753477.01
259,1113.22,1421454.17,753384.61
260,1044.93,1421609.19,753297.88
261,980.83,1421754.68,753216.49
